Inst,Seed,Alpha,InitialNodes,Feasible,Of
instances\TV\eil22_50.csv,9,0.3,DistancePriority,True,477.45
instances\TV\eil22_50.csv,9,0.3,DemandPriority,True,607.38
instances\TV\eil22_50.csv,10,0.3,NoInitialNodes,True,516.66
instances\TV\eil22_50.csv,10,0.3,DistancePriority,True,579.34
instances\TV\eil22_50.csv,10,0.3,DemandPriority,True,561.14
instances\TV\eil22_50.csv,11,0.3,NoInitialNodes,True,589.84
instances\TV\eil22_50.csv,11,0.3,DistancePriority,True,530.14
instances\TV\eil22_50.csv,11,0.3,DemandPriority,True,540.83
instances\TV\eil22_50.csv,12,0.3,NoInitialNodes,True,599.69
instances\TV\eil22_50.csv,12,0.3,DistancePriority,True,569.54
instances\TV\eil22_50.csv,12,0.3,DemandPriority,True,538.97
instances\TV\eil22_50.csv,13,0.3,NoInitialNodes,True,571.98
instances\TV\eil22_50.csv,13,0.3,DistancePriority,True,601.78
instances\TV\eil22_50.csv,13,0.3,DemandPriority,True,596.94
instances\TV\eil22_50.csv,14,0.3,NoInitialNodes,True,518.63
instances\TV\eil22_50.csv,14,0.3,DistancePriority,True,551.76
instances\TV\eil22_50.csv,14,0.3,DemandPriority,True,608.37
instances\TV\eil22_50.csv,15,0.3,NoInitialNodes,True,617.22
instances\TV\eil22_50.csv,15,0.3,DistancePriority,True,622.12
instances\TV\eil22_50.csv,15,0.3,DemandPriority,True,682.81
instances\TV\eil22_50.csv,16,0.3,NoInitialNodes,True,637.2
instances\TV\eil22_50.csv,16,0.3,DistancePriority,True,567.26
instances\TV\eil22_50.csv,16,0.3,DemandPriority,True,564.95
instances\TV\eil22_50.csv,17,0.3,NoInitialNodes,True,597.63
instances\TV\eil22_50.csv,17,0.3,DistancePriority,True,614.32
instances\TV\eil22_50.csv,17,0.3,DemandPriority,True,588.84
instances\TV\eil22_50.csv,18,0.3,NoInitialNodes,True,572.25
instances\TV\eil22_50.csv,18,0.3,DistancePriority,True,596.11
instances\TV\eil22_50.csv,18,0.3,DemandPriority,True,505.06
instances\TV\eil22_50.csv,19,0.3,NoInitialNodes,True,556.89
instances\TV\eil22_50.csv,19,0.3,DistancePriority,True,664.0
instances\TV\eil22_50.csv,19,0.3,DemandPriority,True,629.37
instances\TV\eil22_50.csv,0,0.4,NoInitialNodes,True,714.22
instances\TV\eil22_50.csv,0,0.4,DistancePriority,True,754.51
instances\TV\eil22_50.csv,0,0.4,DemandPriority,True,712.91
instances\TV\eil22_50.csv,1,0.4,NoInitialNodes,True,651.33
instances\TV\eil22_50.csv,1,0.4,DistancePriority,True,675.27
instances\TV\eil22_50.csv,1,0.4,DemandPriority,True,575.58
instances\TV\eil22_50.csv,2,0.4,NoInitialNodes,True,629.58
instances\TV\eil22_50.csv,2,0.4,DistancePriority,True,795.65
instances\TV\eil22_50.csv,2,0.4,DemandPriority,True,710.43
instances\TV\eil22_50.csv,3,0.4,NoInitialNodes,True,665.45
instances\TV\eil22_50.csv,3,0.4,DistancePriority,True,679.29
instances\TV\eil22_50.csv,3,0.4,DemandPriority,True,712.14
instances\TV\eil22_50.csv,4,0.4,NoInitialNodes,True,611.51
instances\TV\eil22_50.csv,4,0.4,DistancePriority,True,760.1
